artist,id
Daughtry,936
Trey Songz,937
Jason Mraz,938
Goodie Mob,939
Titus Andronicus,940
Ashley Monroe,941
Taylor Dayne,942
Frank Zappa,943
The Style Council,944
Camper van Beethoven,945
Boney James,946
Cash Cash,947
Waxahatchee,948
Chelsea Wolfe,949
Starset,950
Calle 13,951
Mack 10,952
Marie Osmond,953
Drake,954
George Strait,955
Ozzy Osbourne,956
Paul Weller,957
Pete Townshend,958
Rhett Miller,959
Superchick,960
MDFMK,961
Juanes,962
Chloe X Halle,963
Mandy Moore,964
Electric Light Orchestra,965
Rehab,966
The Three Degrees,967
Marco Antonio Solis,968
Bryan Adams,969
John Mayer,970
BoA,971
The Mavericks,972
Jerry Jeff Walker,973
Adrenaline Mob,974
Organized Konfusion,975
Yoko Ono,976
Crossfade,977
Mali Music,978
Roxette,979
ABK,980
Jesse Powell,981
Leela James,982
Enrique Iglesias,983
Tenacious D,984
Cradle Of Filth,985
Ciara,986
Eddie Money,987
Emerson Drive,988
The Cab,989
Motorhead,990
Gaither Vocal Band,991
Bret Michaels,992
Band Of Horses,993
Tantric,994
Wyclef Jean,995
Nicholas David,996
Marques Houston,997
Clint Black,998
Car Seat Headrest,999
Dave Grusin,1000
Maino,1001
Head Automatica,1002
Muse,1003
Primus,1004
David Archuleta,1005
Pearl Jam,1006
Hiroshima,1007
Il Volo,1008
Transplants,1009
LP,1010
Dustin Lynch,1011
Brother Ali,1012
Fishbone,1013
Boondox,1014
Glenn Frey,1015
No Doubt,1016
Delta Spirit,1017
Kanye West,1018
Yo Gotti,1019
Opeth,1020
Audioslave,1021
Cold,1022
Billy Currington,1023
Widespread Panic,1024
matchbox 20,1025
Stone Temple Pilots,1026
Big Head Todd And The Monsters,1027
Preservation Hall Jazz Band,1028
Esham,1029
Firehouse,1030
Reba McEntire,1031
Kid Ink,1032
Sylvan Esso,1033
Kenny Rogers,1034
Sam Cooke,1035
Gloriana,1036
Young Jeezy,1037
Menudo,1038
"Drop Dead, Gorgeous",1039
LIGHTS,1040
Travis Tritt,1041
Golden Smog,1042
Red Hot Chili Peppers,1043
We Are The Fallen,1044
Havok,1045
Pure Prairie League,1046
Icona Pop,1047
Billy Childs,1048
Trey Anastasio,1049
Talking Heads,1050
Shawn Colvin,1051
Ice Nine Kills,1052
DragonForce,1053
Dusty Springfield,1054
The Letter Black,1055
Adina Howard,1056
Flo Rida,1057
Sevendust,1058
Default,1059
Cormega,1060
Destiny's Child,1061
Anuel AA,1062
Loretta Lynn,1063
Lou Gramm,1064
Britney Spears,1065
Jocelyn Enriquez,1066
Yanni,1067
Oh Land,1068
Grimes,1069
Funkadelic,1070
Theory Of A Deadman,1071
Hot Tuna,1072
Joe Budden,1073
Pig Destroyer,1074
Heart,1075
Lyfe Jennings,1076
Lisa Marie Presley,1077
Joan Osborne,1078
Chante Moore,1079
The Devil Wears Prada,1080
Frank Turner,1081
Edie Brickell,1082
Keith Sweat,1083
M2M,1084
Frankie Ballard,1085
Faster Pussycat,1086
The Wallflowers,1087
Herbie Hancock,1088
Jenni Rivera,1089
Boogie Down Productions,1090
Sia,1091
The Roots,1092
Coldplay,1093
Trace Adkins,1094
Gomez,1095
Bobby Vee,1096
Argent,1097
Iron Butterfly,1098
Karmin,1099
Chris Young,1100
James Bay,1101
Lene Lovich,1102
The Acacia Strain,1103
Jim Croce,1104
The Horrors,1105
Chet Atkins,1106
Ex Hex,1107
Andrae Crouch,1108
Anberlin,1109
Dave Alvin,1110
Minor Detail,1111
Mims,1112
The Lox,1113
Westlife,1114
The Ramones,1115
Berlin,1116
Blonde Redhead,1117
Franz Ferdinand,1118
Love Spit Love,1119
Reverend Horton Heat,1120
Luciano Pavarotti,1121
William Fitzsimmons,1122
Turk,1123
Motley Crue,1124
B5,1125
